 "ticks" "who" "xcor" "ycor"
 15 4542 -8 -2
 15 4561 -8 -7
 15 4567 -10 -2
 15 4544 2 0
 15 4546 -8 -7
 15 4556 -8 -7
 15 4555 -10 -2
 15 4553 -8 -2
 15 4550 -2 -10
 15 4566 -10 -2
 15 4545 -8 -7
 15 4558 -8 -7
 16 4550 -3 -10
 16 4563 3 -10
 16 4573 -9 -3
 16 4549 2 0
 16 4546 -8 -7
 16 4548 -1 -11
 16 4558 -8 -7
 16 4574 0 -3
 16 4570 -8 -2
 16 4565 -1 -11
 16 4555 -9 -3
 16 4575 -8 -7
 16 4541 -8 -7
 16 4553 -8 -2
 16 4556 -8 -7
 16 4566 -9 -3
 16 4561 -8 -7
 16 4557 -5 -10
 16 4571 -8 -2
 16 4543 -8 -2
 16 4572 -1 -11
 16 4547 -6 -11
 16 4551 -4 -4
 16 4554 -8 -7
 16 4560 -9 -3
 16 4545 -8 -7
 16 4559 -1 -3
 16 4567 -9 -3
 16 4568 -3 -10
 16 4552 -8 -7
 16 4564 -8 -7
 16 4542 -8 -2
 16 4569 -8 -7
 16 4544 2 0
 16 4562 -9 -3
 17 4549 2 0
 17 4568 -4 -11
 17 4564 -8 -7
 17 4562 -9 -3
 17 4547 -7 -11
 17 4545 -8 -7
 17 4552 -8 -7
 17 4556 -8 -7
 17 4553 -8 -2
 17 4557 -6 -11
 17 4575 -8 -7
 17 4550 -4 -11
 17 4558 -8 -7
 17 4571 -8 -2
 17 4546 -8 -7
 17 4563 3 -10
 17 4566 -9 -3
 17 4569 -8 -7
 17 4555 -9 -3
 17 4541 -8 -7
 17 4542 -8 -2
 17 4567 -9 -3
 17 4554 -8 -7
 17 4565 0 -12
 17 4544 2 0
 17 4572 0 -12
 17 4574 0 -3
 17 4570 -8 -2
 17 4551 -4 -4
 17 4559 -1 -3
 17 4548 -1 -12
 17 4543 -8 -2
 17 4560 -9 -3
 17 4561 -8 -7
 17 4573 -9 -3
 18 4547 -7 -11
 18 4546 -8 -7
 18 4556 -8 -7
 18 4563 3 -10
 18 4555 -9 -3
 18 4562 -9 -3
 18 4574 0 -3
 18 4561 -8 -7
 18 4572 -1 -13
 18 4557 -7 -11
 18 4545 -8 -7
 18 4554 -8 -7
 18 4570 -8 -2
 18 4565 -1 -13
 18 4542 -8 -2
 18 4559 -1 -3
 18 4541 -8 -7
 18 4553 -8 -2
 18 4566 -9 -3
 18 4558 -8 -7
 18 4552 -8 -7
 18 4550 -4 -12
 18 4551 -4 -4
 18 4549 2 0
 18 4575 -8 -7
 18 4564 -8 -7
 18 4560 -9 -3
 18 4567 -9 -3
 18 4548 -1 -13
 18 4544 2 0
 18 4573 -9 -3
 18 4568 -4 -12
 18 4569 -8 -7
 18 4571 -8 -2
 18 4543 -8 -2
 19 4566 -9 -3
 19 4553 -8 -2
 19 4575 -8 -7
 19 4565 -1 -14
 19 4542 -8 -2
 19 4557 -6 -12
 19 4551 -4 -4
 19 4571 -8 -2
 19 4548 -1 -14
 19 4570 -8 -2
 19 4547 -7 -11
 19 4560 -9 -3
 19 4546 -8 -7
 19 4556 -8 -7
 19 4574 0 -3
 19 4564 -8 -7
 19 4543 -8 -2
 19 4545 -8 -7
 19 4572 -1 -14
 19 4573 -9 -3
 19 4568 -5 -13
 19 4555 -9 -3
 19 4558 -8 -7
 19 4562 -9 -3
 19 4544 2 0
 19 4563 3 -10
 19 4554 -8 -7
 19 4569 -8 -7
 19 4561 -8 -7
 19 4549 2 0
 19 4550 -5 -13
 19 4559 -1 -3
 19 4552 -8 -7
 19 4567 -9 -3
 19 4541 -8 -7
 20 4550 -6 -14
 20 4551 -4 -4
 20 4541 -8 -7
 20 4571 -8 -2
 20 4567 -9 -3
 20 4554 -8 -7
 20 4565 -1 -15
 20 4564 -8 -7
 20 4542 -8 -2
 20 4548 -1 -15
 20 4561 -8 -7
 20 4559 -1 -3
 20 4563 3 -10
 20 4543 -8 -2
 20 4575 -8 -7
 20 4573 -9 -3
 20 4562 -9 -3
 20 4549 2 0
 20 4560 -9 -3
 20 4568 -6 -14
 20 4544 2 0
 20 4546 -8 -7
 20 4556 -8 -7
 20 4557 -6 -13
 20 4553 -8 -2
 20 4558 -8 -7
 20 4552 -8 -7
 20 4569 -8 -7
 20 4570 -8 -2
 20 4574 0 -3
 20 4566 -9 -3
 20 4547 -7 -11
 20 4572 -1 -15
 20 4545 -8 -7
 20 4555 -9 -3
 21 4560 -9 -3
 21 4548 -2 -16
 21 4566 -9 -3
 21 4561 -8 -7
 21 4550 -6 -15
 21 4547 -7 -11
 21 4559 -1 -3
 21 4570 -8 -2
 21 4565 -2 -16
 21 4573 -9 -3
 21 4545 -8 -7
 21 4568 -6 -15
 21 4542 -8 -2
 21 4562 -9 -3
 21 4557 -7 -14
 21 4571 -8 -2
 21 4563 3 -10
 21 4555 -9 -3
 21 4556 -8 -7
 21 4558 -8 -7
 21 4552 -8 -7
 21 4541 -8 -7
 21 4546 -8 -7
 21 4564 -8 -7
 21 4569 -8 -7
 21 4544 2 0
 21 4551 -4 -4
 21 4572 -2 -16
 21 4543 -8 -2
 21 4574 0 -3
 21 4553 -8 -2
 21 4567 -9 -3
 21 4554 -8 -7
